omitted_q,status,wall_limit_seconds,seed,variables,clauses,cnf_sha256,solver_output_sha256
68,UNKNOWN,30,13069,1820,48928,7a1eb9cefd7c1c2ba3a7e2796b5ede2461c9370ecd4f95a7e59f1edc6837d852,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
69,UNKNOWN,30,13070,1820,48928,ce1d6ab9a6380167e657056f0713376157e86a66591f3b42fb4879119607bcd0,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
70,UNKNOWN,30,13071,1820,48928,a689fb7d5c12f44e999c16bf7bc3066324a621d33bffa157cd095126ff845dd2,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
71,UNKNOWN,30,13072,1820,48928,345bf1087128f3f62b5bbd69ecc7d561d76ad03e3b16129ea6a83820340f7bd2,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
72,UNKNOWN,30,13073,1820,48928,d360a1e7de61f3341f6a23c41d1dc94aa0e6673251793695764106b22c354a5a,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
75,UNKNOWN,30,13076,1820,48928,f96c7bb168c2baef4caf2d40e6f2eba7affe20c2c699cca382605a717e345c4d,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
76,UNKNOWN,30,13077,1820,48928,fd08ba7c4ea5151e4e9041b252d781973771a9407c82e11f9682d4b63e5c96f1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
77,UNKNOWN,30,13078,1820,48928,488727aa29a78363c91f5ad234b53074a509f6254cf8c8aea5ce91618228d368,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
78,UNKNOWN,30,13079,1820,48928,538527ae7a898f54b35d64253ac713a8649ca5db89341704d9a28cdd66c2e999,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
79,UNKNOWN,30,13080,1820,48928,ca532b8a92647f56c21e8c79067320ac89195ac54014f8430c8de54648775164,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
80,UNKNOWN,30,13081,1820,48928,775f26917a5d9d684809d771aa6e37ec17013cae20d23e76f646256b23915e44,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
81,UNKNOWN,30,13082,1820,48928,28101dbc042db016fa6a0423362cee5fb12be2e1ae52dfdb34e2ae78a7578ecd,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
84,UNKNOWN,30,13085,1820,48928,8cfa67268acf101bc66c11e951e45894d00541ac0ded65a3332427a6daab19d1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
85,UNKNOWN,30,13086,1820,48928,6df353dc79ee2b72719dda7336db9ff9c63aa3760c8552686aa15d845bba9cd4,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
86,UNKNOWN,30,13087,1820,48928,271ac4b545ecc90e6ac4e48231a66d9345102f9498a176e473b2463decaacaa9,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
87,UNKNOWN,30,13088,1820,48928,3b0ad3a64232ed4f16a5645dacb7a47cedb14eee370a52f32beff80fed4620b5,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
88,UNKNOWN,30,13089,1820,48928,637261b28b36e6c4cb9954972ada07e6ca7047a8807e51dd06407c603583757a,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
91,UNKNOWN,30,13092,1820,48928,64855ada3083be4fbdf6502562b9e0ceefe0de937f68cff3c3d704872122fea8,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
92,UNKNOWN,30,13093,1820,48928,434d880721df745205d5b76eb3b17007101676a9244e1f8bd151e375d29e082e,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
93,UNKNOWN,30,13094,1820,48928,4ec7ad3415d5e4d1cc45e648535f692adc99c7e7cebc9f6e10063054867cb710,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
94,UNKNOWN,30,13095,1820,48928,8ec984af5d1d051d7f10d982a24ee45ade2ebadb6d4e6e3eb7aee2fd19135a50,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
97,UNKNOWN,30,13098,1820,48928,b9babbfdf0fd26290cf2f4a3ea999fc3fa0fb0d1c32f45bd24b113a72fb87f37,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
98,UNKNOWN,30,13099,1820,48928,948ba72c0e4922596b68a31f102f36efbaa3ecddea481792124b0eb29706c8ad,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
99,UNKNOWN,30,13100,1820,48928,7a73f484eb1c20bdf9b78ae664ac2b289d557d377b086cbbd5617b22258a5b87,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
102,UNKNOWN,30,13103,1820,48928,70a6e1941a1d8cf4523632a09e96cb329353cdf69fda69e962f28d5b780a6a4e,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
103,UNKNOWN,30,13104,1820,48928,50ef58133d00ca0fcc9def9318ea64e56702956b25051513346083484b15d7b2,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
106,UNKNOWN,30,13107,1820,48928,54ddd39e8bc26f7f7b0575008f63698d1ea7204ad231ca997bf6e459c2323bd3,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
114,UNKNOWN,30,13115,1820,48928,a2186ee7fb7853f80e6a04bc74047433303ce713f0ccbbbd235587918fcaebe1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
115,UNKNOWN,30,13116,1820,48928,3179dc2b224708f8e597bfc54e544784f807daaf5b16c1b3b0ece1b8aabaaaa4,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
116,UNKNOWN,30,13117,1820,48928,92b1ba14c7cf98f696f73c3e6d9d0130d54381668a9b7ca0f8c8ab8d2b778eed,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
117,UNKNOWN,30,13118,1820,48928,c597f606efa62300642a7e8ebbd18170444878042a7e8cfa472d116a51f3d55e,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
118,UNKNOWN,30,13119,1820,48928,587e63e0fb60cb2345802fe7ca9d4a5aa4e59cd093d7d25e5b04e4b849260e6f,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
119,UNKNOWN,30,13120,1820,48928,06740dc6ebb7fb13d3426c68d6441a8a38fd0db86c659f25b7c9d44265ecfb2d,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
120,UNKNOWN,30,13121,1820,48928,bb4a486ec3a22b57f572e6fc7af009e5f6798cfec3b387ced9304bbe3788838c,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
121,UNKNOWN,30,13122,1820,48928,dfcee7ab92e71eeb92e90f0c153efe9a12fffa34fac6723ab2e006f08b8646dd,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
122,UNKNOWN,30,13123,1820,48928,b81ed27eef3ac427690c393d9a4e54752c7d08b4cbb9e3ec7ac998cf98d71aa9,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
125,UNKNOWN,30,13126,1820,48928,d103c05934b16d4768764712b138b3187dd93488dec6f2d336319d464a98a51e,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
126,UNKNOWN,30,13127,1820,48928,92dd048b0ee57f61cab78751057bd921927b5a54110941b524a3a7c9ab093e0e,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
127,UNKNOWN,30,13128,1820,48928,87bfb11ed9f33f45d5fd3206d4d8587da8c45dc6e887978218047e58f7362939,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
128,UNKNOWN,30,13129,1820,48928,2fb33b56557c8e4c0561de4ab2f43c4e1a114228e82724ba143210234fc3cfff,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
129,UNKNOWN,30,13130,1820,48928,e888d485ebbd5165be7af44bc92661c71842c7c9e4f022eaf4431be1f9fb397d,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
130,UNKNOWN,30,13131,1820,48928,5e63d166f65ebdd0798f6fc56c16cd9691e7866adbe7f111a8ed27f54c62a8ad,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
131,UNKNOWN,30,13132,1820,48928,a4d1088592248cb18dee3a6d97907bda0c6ad4ab99184627b63557f337e0ae55,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
132,UNKNOWN,30,13133,1820,48928,7334f7c5530f5f9f7c404d1367ea10be625db4f29b3ab34065a9b8931a76e4ef,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
135,UNKNOWN,30,13136,1820,48928,09211897135cf03a738ad73f1e72066fca0de46c034e4787cfb5cc11bcea6523,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
136,UNKNOWN,30,13137,1820,48928,59deea6319ae2190ca9d39e359fc9d210cc8d4de05440b1e0f4990d302d74d26,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
137,UNKNOWN,30,13138,1820,48928,bf034af4ed524e87f195f70d1300406f3504ff4263163e18ce9b917803f9dc08,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
138,UNKNOWN,30,13139,1820,48928,e5bfb0a6d6d83fec6e8f254a9b1cf0c2575dae795d88e0e7e104701c04d7e152,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
139,UNKNOWN,30,13140,1820,48928,62c117a0886f7d83d93002fda65523891e6912a047a018a1106640bbac73affe,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
140,UNKNOWN,30,13141,1820,48928,02ae4df5ac64844bb8ac297b11bf747ad0d93ca88b5ae657ef19e10dd73e9d2d,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
141,UNKNOWN,30,13142,1820,48928,7ec1c801548506d2b18d28a06861e605ab672b9122c7eb5bc8ae938087d0f587,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
144,UNKNOWN,30,13145,1820,48928,14eed02d109b81481683abd17ea8c2fd1ac3c82617eb3f02b0352edfbae73d57,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
145,UNKNOWN,30,13146,1820,48928,629afb94656d10c3a52c72d2108f563fedf0a33d349b7a39bcffa5da7a5f9661,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
146,UNKNOWN,30,13147,1820,48928,638ea25c5f679b63db715a1054469216e5d59d9395c09c9c61301b5e0430d800,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
147,UNKNOWN,30,13148,1820,48928,ce64f7caf66348ecd99dfb292f2e255ec619226f80fade2a366545a487b82140,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
148,UNKNOWN,30,13149,1820,48928,61d5f72f9a1b84106b65f0c996fb515774d77d29a5a233b5480418a31b5d0d74,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
149,UNKNOWN,30,13150,1820,48928,267cc3960b5cbef061b501345bc7a99a34cc77b74d3a520a80dc456eb1f8bf5c,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
152,UNKNOWN,30,13153,1820,48928,8eeb330c7bf036a2ca22108f7bb132e017f81d5ecfb5bc8da7e1b19934b91f5e,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
153,UNKNOWN,30,13154,1820,48928,1c834334a80d66eb027a256e63d6d0e60ad613230526eaf847826acf7b2e34a6,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
154,UNKNOWN,30,13155,1820,48928,568ac0dcbfd4b7f6fb7722197c2a6a6492e8dba2d99982d43ac7278c70f4d98a,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
155,UNKNOWN,30,13156,1820,48928,f67b830c1adbe64a76fa11ddaa4dd2e6ef92f6ff8d1c63ef72a1c895fe63c4b0,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
156,UNKNOWN,30,13157,1820,48928,1579611414f0a9bbbd51a5fa1e70a95301e8022933be66bf6f28e7936600a4c2,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
159,UNKNOWN,30,13160,1820,48928,1141095e1113859e8cb2780c76390b489482995a41f9a1a24bceffa0380d75ee,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
160,UNKNOWN,30,13161,1820,48928,83eae80ce1fc94e73649b2d6b533c738df78e9a772bc6729c970f4a9f56f95e8,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
161,UNKNOWN,30,13162,1820,48928,ebd37140a34906a4219db00e91e64442b9b3a1726a5b9331c475ecc905e6ba5a,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
164,UNKNOWN,30,13165,1820,48928,68b2ea745bd4fcdbcbe2a7679892b7c315dd45fbe651f60d6bae82e08238383c,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
165,UNKNOWN,30,13166,1820,48928,f4507a6cf0a308d3f814bea6b902023dcad7abe51c2f5c1396f8e7e3e7599665,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
168,UNKNOWN,30,13169,1820,48928,0e193099539ede3e3618a2dad076f157e519760edd5a68f1f2c210a5d97b4770,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
178,UNKNOWN,30,13179,1820,48928,9a13d287152484898fe2545eab91508a22625da1b27531f26de8ceb3d5c62c64,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
179,UNKNOWN,30,13180,1820,48928,a11f809bff1fa1d71f42112bd21458118c5baa11f56f62429d04d7fee2128067,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
180,UNKNOWN,30,13181,1820,48928,61a0c9ee3466a6babb316a4a17f96e6fe2a760c779748dd90b77eadd6c2cd004,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
181,UNKNOWN,30,13182,1820,48928,6240c516da2b3ff71fab35bdcb7324b4c1385bb7a84fdec12372e5830d238401,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
182,UNKNOWN,30,13183,1820,48928,c2a4ee76b60ccae53da58720a331e82887460eb8855678aa8a20676917006564,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
