CANDIDATE UNSAT [4715,2651,27844,70114,40012,70171,48257,44293,12602,60548,120964]
CANDIDATE UNSAT [4715,2651,27781,70114,40012,70171,48257,44356,12602,60548,120964]
CANDIDATE UNSAT [4715,2651,27782,70113,40012,70171,48257,44356,12602,60548,120964]
CANDIDATE UNSAT [4715,2651,27782,70113,40012,4891,48257,44356,77882,60548,120964]
CANDIDATE UNSAT [4715,2651,27782,70369,40012,4891,48257,44612,77882,60548,120964]
CANDIDATE UNSAT [4715,2651,27782,70369,40012,827,48257,44612,77882,60548,116900]
CANDIDATE UNSAT [4715,2651,27782,70369,40012,827,48257,44612,77882,60548,116900]
CANDIDATE UNSAT [4715,2651,27788,70369,40006,827,48257,44612,77882,60548,116900]
CANDIDATE UNSAT [4715,2651,27788,70369,40006,827,48257,44612,77882,60548,116900]
CANDIDATE UNSAT [4715,2651,27788,70369,40006,827,48257,44612,77882,60548,116900]
CANDIDATE UNSAT [4715,2651,27788,70321,39958,827,48257,44612,77882,60548,116900]
CANDIDATE UNSAT [4715,2651,27788,70321,48134,827,48257,36436,77882,60548,116900]
CANDIDATE UNSAT [4715,2651,27788,70321,48134,827,48257,35444,77882,60548,117892]
CANDIDATE UNSAT [4715,2651,60548,70321,48134,827,48257,35444,77882,27788,117892]
CANDIDATE UNSAT [4715,2651,60548,70321,48134,827,48257,35444,77882,60548,85132]
CANDIDATE UNSAT [4715,2651,60548,70321,39958,827,48257,43620,77882,60548,85132]
CANDIDATE UNSAT [4715,2651,60548,70321,39958,827,48257,43620,77882,60548,85132]
CANDIDATE UNSAT [4715,2651,60548,70321,36374,827,44673,43620,77882,60548,85132]
CANDIDATE UNSAT [4715,2651,60548,70321,36374,827,44417,43364,77882,60548,85132]
CANDIDATE UNSAT [4715,2651,60548,70321,36374,827,44417,43364,77882,60548,85132]
CANDIDATE UNSAT [4715,2651,60548,70321,36374,827,44417,43364,77882,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,827,44417,43364,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,827,44417,43364,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,827,44417,43364,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,827,44417,43364,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,827,44417,43364,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,827,44417,43364,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,890,44417,43301,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60548,70321,36374,890,44417,43301,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60484,70257,36374,890,44417,43301,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60484,70257,36374,890,44417,43301,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60484,70257,36374,890,44417,43301,69754,60548,85132]
CANDIDATE UNSAT [12843,2651,60484,70257,36374,890,44417,44324,69754,59525,85132]
CANDIDATE UNSAT [4667,2651,52308,70257,36374,890,44417,44324,69754,59525,85132]
CANDIDATE UNSAT [4667,2651,52308,70512,36374,890,44417,44069,69754,59525,85132]
CANDIDATE UNSAT [4667,2651,52308,70512,36374,9074,44417,44069,69754,59525,93316]
CANDIDATE UNSAT [4667,2651,52308,70512,36374,9074,44417,44069,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,36374,9074,44417,44069,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,36374,9074,44417,44069,69754,59525,93316]
