c0,c1,c2,c3,L_lo,L_up,kernel_upper,d_lower,D_up,exact_realized,G28,margin_lo,margin_up,margin_final
1,12,14,4,4416483,4424675,2,2185688,2197696,0,4395407,-21076,-29268,-29268
1,12,16,2,4434243,4434243,2,2194568,2202216,1,4404447,-29796,-29796,-29796
1,12,18,0,4277187,4277187,2,2116040,2123688,1,4247391,-29796,-29796,-29796
1,14,0,16,4276643,4284835,2,2115768,2127512,0,4255039,-21604,-29796,-29795
1,14,2,14,4433683,4450067,2,2194288,2210392,0,4420798,-12885,-29269,-29268
1,14,4,12,4416483,4424675,2,2185688,2197696,0,4395407,-21076,-29268,-29268
1,14,6,10,4420243,4428435,2,2191392,2199576,0,4399170,-21073,-29265,-29264
1,14,8,8,4418723,4426915,2,2193752,2205512,0,4411039,-7684,-15876,-15876
1,14,10,6,4420243,4428435,2,2191392,2199576,0,4399170,-21073,-29265,-29264
1,14,12,4,4416483,4424675,2,2185688,2197696,0,4395407,-21076,-29268,-29268
1,14,14,2,4433683,4450067,2,2194288,2210392,0,4420798,-12885,-29269,-29268
1,14,16,0,4276643,4284835,2,2115768,2127512,0,4255039,-21604,-29796,-29795
1,16,0,14,4276643,4284835,2,2115768,2127512,0,4255039,-21604,-29796,-29795
1,16,2,12,4434243,4434243,2,2194568,2202216,1,4404447,-29796,-29796,-29796
1,16,4,10,4417027,4417027,2,2189784,2193608,1,4387231,-29796,-29796,-29796
1,16,6,8,4420067,4420067,2,2194424,2195128,1,4390268,-29799,-29799,-29799
1,16,8,6,4420067,4420067,2,2194424,2195128,1,4390268,-29799,-29799,-29799
1,16,10,4,4417027,4417027,2,2189784,2193608,1,4387231,-29796,-29796,-29796
1,16,12,2,4434243,4434243,2,2194568,2202216,1,4404447,-29796,-29796,-29796
1,16,14,0,4276643,4284835,2,2115768,2127512,0,4255039,-21604,-29796,-29795
1,18,0,12,4277187,4277187,2,2116040,2123688,1,4247391,-29796,-29796,-29796
1,18,2,10,4434771,4434771,2,2198656,2202176,1,4404366,-30405,-30405,-30405
1,18,4,8,4416835,4416835,2,2192808,2193208,1,4386429,-30406,-30406,-30406
1,18,6,6,4421395,4421395,2,2195088,2195488,1,4390994,-30401,-30401,-30401
1,18,8,4,4416835,4416835,2,2192808,2193208,1,4386429,-30406,-30406,-30406
1,18,10,2,4434771,4434771,2,2198656,2202176,1,4404366,-30405,-30405,-30405
1,18,12,0,4277187,4277187,2,2116040,2123688,1,4247391,-29796,-29796,-29796
1,20,0,10,4276995,4276995,2,2122888,2122984,1,4245984,-31011,-31011,-31011
1,20,2,8,4433859,4433859,2,2201320,2201416,1,4402847,-31012,-31012,-31012
1,20,4,6,4417443,4417443,2,2193112,2193208,1,4386429,-31014,-31014,-31014
1,20,6,4,4417443,4417443,2,2193112,2193208,1,4386429,-31014,-31014,-31014
1,20,8,2,4433859,4433859,2,2201320,2201416,1,4402847,-31012,-31012,-31012
1,20,10,0,4276995,4276995,2,2122888,2122984,1,4245984,-31011,-31011,-31011
1,22,0,8,4277603,4277603,2,2123192,2123288,1,4246593,-31010,-31010,-31010
1,22,2,6,4435987,4435987,2,2195488,2195488,1,4390994,-44993,-44993,-44993
1,22,4,4,4415011,4415011,2,2185000,2185000,1,4370015,-44996,-44996,-44996
1,22,6,2,4435987,4435987,2,2195488,2195488,1,4390994,-44993,-44993,-44993
1,22,8,0,4277603,4277603,2,2123192,2123288,1,4246593,-31010,-31010,-31010
1,24,0,6,4275171,4275171,2,2108088,2108088,1,4216192,-58979,-58979,-58979
1,24,2,4,4428995,4428995,2,2185000,2185000,1,4370015,-58980,-58980,-58980
1,24,4,2,4428995,4428995,2,2185000,2185000,1,4370015,-58980,-58980,-58980
1,24,6,0,4275171,4275171,2,2108088,2108088,1,4216192,-58979,-58979,-58979
1,26,0,4,4289155,4289155,2,2115080,2115080,1,4230179,-58976,-58976,-58976
1,26,2,2,4463955,4463955,2,2202480,2202480,1,4404973,-58982,-58982,-58982
1,26,4,0,4289155,4289155,2,2115080,2115080,1,4230179,-58976,-58976,-58976
1,28,0,2,4149315,4149315,2,2045160,2045160,1,4090332,-58983,-58983,-58983
1,28,2,0,4149315,4149315,2,2045160,2045160,1,4090332,-58983,-58983,-58983
2,1,1,27,4306635,4306635,2,2132560,2132560,1,4265137,-41498,-41498,-41498
2,1,3,25,4446475,4446475,2,2202480,2202480,1,4404973,-41502,-41502,-41502
2,1,5,23,4432491,4432491,2,2195488,2195488,1,4390994,-41497,-41497,-41497
2,1,7,21,4434923,4434923,2,2202480,2202480,1,4404973,-29950,-29950,-29950
2,1,9,19,4434315,4434315,2,2202176,2202176,1,4404366,-29949,-29949,-29949
2,1,11,17,4434507,4434507,2,2198656,2202480,1,4404973,-29534,-29534,-29534
2,1,13,15,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
2,1,15,13,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
2,1,17,11,4434507,4434507,2,2198656,2202480,1,4404973,-29534,-29534,-29534
2,1,19,9,4434315,4434315,2,2202176,2202176,1,4404366,-29949,-29949,-29949
2,1,21,7,4434923,4434923,2,2202480,2202480,1,4404973,-29950,-29950,-29950
2,1,23,5,4432491,4432491,2,2195488,2195488,1,4390994,-41497,-41497,-41497
2,1,25,3,4446475,4446475,2,2202480,2202480,1,4404973,-41502,-41502,-41502
2,1,27,1,4306635,4306635,2,2132560,2132560,1,4265137,-41498,-41498,-41498
2,3,1,25,4446475,4446475,2,2202480,2202480,1,4404973,-41502,-41502,-41502
2,3,3,23,4411515,4411515,2,2183784,2183784,1,4367584,-43931,-43931,-43931
2,3,5,21,4418507,4418507,2,2187280,2187280,1,4374578,-43929,-43929,-43929
2,3,7,19,4416379,4416379,2,2193112,2193112,1,4386237,-30142,-30142,-30142
2,3,9,17,4417291,4417291,2,2190144,2193568,1,4387150,-30141,-30141,-30141
2,3,11,15,4416763,4416763,2,2189784,2193608,1,4387231,-29532,-29532,-29532
2,3,13,13,4416203,4432587,2,2189504,2201520,0,4403053,-13150,-29534,-29533
2,3,15,11,4416763,4416763,2,2189784,2193608,1,4387231,-29532,-29532,-29532
2,3,17,9,4417291,4417291,2,2190144,2193568,1,4387150,-30141,-30141,-30141
2,3,19,7,4416379,4416379,2,2193112,2193112,1,4386237,-30142,-30142,-30142
2,3,21,5,4418507,4418507,2,2187280,2187280,1,4374578,-43929,-43929,-43929
2,3,23,3,4411515,4411515,2,2183784,2183784,1,4367584,-43931,-43931,-43931
2,3,25,1,4446475,4446475,2,2202480,2202480,1,4404973,-41502,-41502,-41502
2,5,1,23,4432491,4432491,2,2195488,2195488,1,4390994,-41497,-41497,-41497
2,5,3,21,4418507,4418507,2,2187280,2187280,1,4374578,-43929,-43929,-43929
2,5,5,19,4420939,4420939,2,2195488,2195488,1,4390994,-29945,-29945,-29945
2,5,7,17,4420331,4420331,2,2195088,2195088,1,4390189,-30142,-30142,-30142
2,5,9,15,4420523,4420523,2,2191760,2195488,1,4390994,-29529,-29529,-29529
2,5,11,13,4419979,4428171,2,2191392,2199312,0,4398639,-21340,-29532,-29532
2,5,13,11,4419979,4428171,2,2191392,2199312,0,4398639,-21340,-29532,-29532
